642,86
22452,16
22452,144
582,15
582,239
582,53
583,15
583,139
583,200
583,195
584,15
584,139
584,53
584,186
585,15
585,114
585,200
585,195
586,15
586,114
586,204
587,15
587,114
587,46
589,15
589,72
589,200
589,195
590,15
590,139
590,46
591,15
591,239
591,46
592,15
592,239
592,46
593,15
593,93
593,46
594,15
594,93
594,46
597,15
597,72
597,46
598,15
598,139
598,46
599,15
599,239
599,46
602,15
602,139
602,53
603,15
603,93
603,53
605,15
605,139
605,53
605,204
607,15
607,93
607,46
607,204
608,15
608,93
608,200
608,195
609,15
609,93
609,46
609,189
620,15
620,239
620,53
620,65
621,15
621,146
621,53
622,15
622,121
622,46
622,201
623,15
623,100
623,53
624,15
624,79
624,46
625,15
625,79
625,46
625,65
626,15
626,166
626,46
627,15
627,100
627,46
627,201
628,15
628,166
628,46
628,192
629,15
629,121
629,46
630,15
630,121
630,46
630,183
631,15
631,239
631,46
631,65
632,15
632,146
632,53
632,186
633,15
633,100
633,46
633,189
634,15
634,100
634,46
638,153
638,54
639,16
639,128
639,54
640,16
640,107
640,54
640,187
641,16
641,107
641,47
642,16
642,47
643,16
643,86
643,47
644,16
644,128
644,47
645,16
645,170
645,47
648,15
648,53
649,15
649,53
650,15
650,53
651,15
651,53
652,15
652,53
653,15
653,53
654,15
654,53
655,15
655,53
656,15
656,53
657,15
657,53
1944,15
1944,46
2006,15
2006,79
2006,46
2161,15
2161,72
2161,46
2161,192
3766,15
3766,114
3766,46
3766,183
11172,16
11172,167
11172,181
11172,205
11174,16
11174,98
11174,47
11174,190
11176,16
11176,142
11176,202
11176,196
11178,16
11178,98
11178,202
11178,196
11182,16
11182,115
11182,181
11182,205
11184,16
11184,75
11184,202
11184,196
11186,16
11186,144
11186,202
11186,196
11188,16
11188,73
11188,181
11188,205
11190,16
11190,167
11190,47
11190,193
11192,16
11192,140
11192,181
11192,205
11194,16
11194,142
11194,54
11194,187
11196,16
11196,117
11196,202
11196,196
11198,16
11198,119
11198,202
11198,196
11200,16
11200,96
11200,202
11200,196
11202,16
11202,96
11202,202
11202,196
11365,16
11365,144
11365,47
11371,16
11371,117
11371,47
11377,16
11377,154
11377,181
11377,160
11379,16
11379,142
11379,54
11381,16
11381,98
11381,54
11387,16
11387,119
11387,47
11387,184
11393,16
11393,75
11400,16
11400,119
11400,58
11400,201
11957,16
11957,149
11957,181
11957,187
11959,16
11959,149
11959,54
11959,187
11961,16
11961,149
11961,47
11961,184
11963,16
11963,126
11963,181
11963,183
11965,16
11965,167
11965,181
11965,193
11969,16
11969,181
11969,190
11971,16
11971,105
11971,47
11971,190
11978,16
11978,66
11978,54
11985,16
11985,66
11987,16
11987,66
11987,47
11989,16
11989,66
11989,47
11993,16
11993,149
11993,54
11995,16
11995,149
11995,54
11995,199
11999,16
11999,124
11999,202
12003,16
12003,82
12003,47
12005,16
12005,171
12005,47
12011,16
12011,105
12011,54
12013,16
12013,124
12013,54
12013,199
12015,16
12015,126
12015,47
12017,16
12017,82
12017,47
12017,199
12019,16
12019,151
12019,47
12021,16
12021,103
12021,47
12021,199
12023,16
12023,103
12023,47
12023,202
12032,16
12032,154
12032,181
12032,160
12034,16
12034,154
12034,181
12034,160
12038,16
12038,154
12038,181
12038,160
12042,16
12042,167
12042,47
12044,16
12044,96
12044,47
12729,16
12729,54
12731,16
12731,54
12733,16
12733,47
12735,16
12735,54
12743,16
12743,47
12745,16
12745,47
12747,54
12753,16
12753,47
16227,16
16227,101
16227,54
16229,16
16229,101
16229,47
16231,16
16231,122
16231,54
16233,16
16233,47
16236,15
16236,72
16236,46
16238,15
16238,93
16238,53
16240,15
16240,93
16240,46
16242,15
16242,114
16242,53
17476,15
17476,241
17476,53
17478,15
17478,241
17478,53
17480,15
17480,241
17480,53
19744,15
19744,46
20125,16
20125,167
20125,47
20125,193
22428,18
22428,91
22428,48
22428,208
22430,18
22430,171
22430,48
22430,208
22436,18
22436,156
22436,187
22440,18
22440,133
22440,48
22440,208
22442,18
22442,167
22442,48
22442,225
22444,18
22444,124
22444,55
22446,18
22446,59
22446,228
22448,18
22448,82
22448,48
22452,47
22452,198
22456,16
22456,119
22456,54
22456,198
22460,16
22460,96
22460,47
22460,198
22464,16
22464,54
22464,198
22466,18
22466,103
22466,48
22468,18
22468,124
22468,55
22468,231
22470,18
22470,149
22470,59
22474,18
22474,149
22474,48
22474,221
22544,16
22544,242
22544,54
22546,16
22546,54
22548,16
22548,54
24688,16
24688,107
24688,54
24690,16
24690,107
24690,47
24690,201
24692,16
24692,86
24692,47
24694,16
24694,128
24694,54
24696,16
24696,80
24696,47
24698,16
24698,147
24698,58
24700,16
24700,47
24702,16
24702,122
24702,47
28659,18
28659,91
28659,48
28659,196
28661,18
28661,112
28661,48
28661,196
28665,18
28665,131
28665,55
28665,184
28710,18
28710,156
28710,55
28710,184
29248,15
29248,72
29248,46
29248,204
638,16
12747,16
586,46
11393,47
16233,80
22436,208
11985,54
24700,166
22446,105
11999,58
22548,251
22546,244
29986,47
29986,16
29986,80
29990,47
29990,16
29990,122
29988,47
29988,16
29988,101
29988,166
29984,54
29984,16
29984,147
22464,142
634,65
11969,105
644,153
