#HQF Attribute Mapping Table,,,,,,,,
#Affecting Attribute,Affecting Type,Affecting ID,Affected Attribute,Affected Type,Affected ID,Stack Nerf,Per Level,Description

# SKILL MAPPING ATTRIBUTES,,,,,,,,
# DRONES,,,,,,,,
#,1,24613,,,,0,1,Advanced Drone Interfacing
#,1,12484,,,,0,1,Amarr Drone Specialization
#,1,12487,,,,0,1,Caldari Drone Specialization
#,1,24241,,,,0,1,Combat Drone Operation
#,1,23618,,,,0,1,Drone Durability
#,1,3442,,,,0,1,Drone Interfacing
#,1,12305,,,,0,1,Drone Navigation
#,1,23606,,,,0,1,Drone Sharpshooting
#,1,3436,,,,0,1,Drones
#,1,23566,,,,0,1,Electronic Warfare Drone Interfacing
#,1,23069,,,,0,1,Fighters
#,1,12486,,,,0,1,Gallente Drone Specialization
#,1,3441,,,,0,1,Heavy Drone Operation
#,1,3438,,,,0,1,Mining Drone Operation
#,1,12485,,,,0,1,Minmatar Drone Operation
#,1,3439,,,,0,1,Repair Drone Operation
#,1,3437,,,,0,1,Scout Drone Operation
#,1,23594,,,,0,1,Sentry Drone Interfacing
# ELECTRONICS,,,,,,,,
#,1,11579,,,,0,1,Cloaking
#,1,21603,,,,0,1,Cynosural Field Theory
#,1,3427,,,,0,1,Electronic Warfare
424,1,3426,48,0,0,0,1,Electronics
#,1,3432,,,,0,1,Electronics Upgrades
#,1,19760,,,,0,1,Frequency Modulation
#,1,19759,,,,0,1,Long Distance Jamming
309,1,3428,76,0,0,0,1,Long Range Targeting
#,1,3430,,,,0,1,Multitasking
#,1,27911,,,,0,1,Projected Electronic Counter Measures
#,1,3435,,,,0,1,Propulsion Jamming
#,1,3433,,,,0,1,Sensor Linking
#,1,19761,,,,0,1,Signal Dispersion
#,1,19766,,,,0,1,Signal Suppression
566,1,3431,564,0,0,0,1,Signature Analysis
#,1,19922,,,,0,1,Signature Focusing
#,1,3551,,,,0,1,Survey
#,1,19921,,,,0,1,Target Painting
#,1,3429,,,,0,1,Targeting
#,1,19767,,,,0,1,Turret Destabilization
#,1,3434,,,,0,1,Weapon Disruption
# ENGINEERING,,,,,,,,
#,1,24572,,,,0,1,Capital Energy Emission Systems
#,1,24571,,,,0,1,Capital Shield Emission Systems
#,1,21802,,,,0,1,Capital Shield Operation
#,1,12365,,,,0,1,EM Shield Compensation
#,1,3423,,,,0,1,Energy Emission Systems
#,1,3424,,,,0,1,Energy Grid Upgrades
1079,1,3418,482,0,0,0,1,Energy Management
#,1,3421,,,,0,1,Energy Pulse Weapons
314,1,3417,55,0,0,0,1,Energy Systems Operation
313,1,3413,11,0,0,0,1,Engineering
#,1,12367,,,,0,1,Explosive Shield Compensation
#,1,12366,,,,0,1,Kinetic Shield Compensation
#,1,21059,,,,0,1,Shield Compensation
#,1,3422,,,,0,1,Shield Emission Systems
337,1,3419,263,0,0,0,1,Shield Management
338,1,3416,479,0,0,0,1,Shield Operation
#,1,3425,,,,0,1,Shield Upgrades
#,1,3420,,,,0,1,Tactical Shield Manipulation
#,1,11566,,,,0,1,Thermic Shield Compensation
# GUNNERY,,,,,,,,
323,1,11207,30,2,74,0,1,Advanced Weapon Upgrades - 
323,1,11207,30,2,53,0,1,Advanced Weapon Upgrades - 
323,1,11207,30,2,55,0,1,Advanced Weapon Upgrades - 
323,1,11207,30,2,511,0,1,Advanced Weapon Upgrades - 
323,1,11207,30,2,862,0,1,Advanced Weapon Upgrades - 
323,1,11207,30,2,524,0,1,Advanced Weapon Upgrades - 
323,1,11207,30,2,506,0,1,Advanced Weapon Upgrades - 
323,1,11207,30,2,510,0,1,Advanced Weapon Upgrades - 
323,1,11207,30,2,771,0,1,Advanced Weapon Upgrades - 
323,1,11207,30,2,507,0,1,Advanced Weapon Upgrades - 
323,1,11207,30,2,508,0,1,Advanced Weapon Upgrades - 
323,1,11207,30,2,501,0,1,Advanced Weapon Upgrades - 
323,1,11207,30,2,509,0,1,Advanced Weapon Upgrades - 
#,1,20327,,,,0,1,Capital Energy Turret
#,1,21666,,,,0,1,Capital Hybrid Turret
#,1,21667,,,,0,1,Capital Projectile Turret
#,1,3316,,,,0,1,Controlled Bursts
#,1,3300,,,,0,1,Gunnery
#,1,12203,,,,0,1,Large Artillery Specialization
#,1,12209,,,,0,1,Large Autocannon Specialization
#,1,12205,,,,0,1,Large Beam Laser Specialization
#,1,12212,,,,0,1,Large Blaster Specialization
#,1,3309,,,,0,1,Large Energy Turret
#,1,3307,,,,0,1,Large Hybrid Turret
#,1,3308,,,,0,1,Large Projectile Turret
#,1,12215,,,,0,1,Large Pulse Laser Specialization
#,1,12207,,,,0,1,Large Railgun Specialization
#,1,12202,,,,0,1,Medium Artillery Specialization
#,1,12208,,,,0,1,Medium Autocannon Specialization
#,1,12204,,,,0,1,Medium Beam Laser Specialization
#,1,12211,,,,0,1,Medium Blaster Specialization
#,1,3306,,,,0,1,Medium Energy Turret
#,1,3304,,,,0,1,Medium Hybrid Turret
#,1,3305,,,,0,1,Medium Projectile Turret
#,1,12214,,,,0,1,Medium Pulse Laser Specialization
#,1,12206,,,,0,1,Medium Railgun Specialization
#,1,3312,,,,0,1,Motion Prediction
#,1,3310,,,,0,1,Rapid Firing
#,1,3311,,,,0,1,Sharpshooter
#,1,12201,,,,0,1,Small Artillery Specialization
#,1,11084,,,,0,1,Small Autocannon Specialization
#,1,11083,,,,0,1,Small Beam Laser Specialization
#,1,12210,,,,0,1,Small Blaster Specialization
#,1,3303,,,,0,1,Small Energy Turret
#,1,3301,,,,0,1,Small Hybrid Turret
#,1,3302,,,,0,1,Small Projectile Turret
#,1,12213,,,,0,1,Small Pulse Laser Specialization
#,1,11082,,,,0,1,Small Railgun Specialization
#,1,3315,,,,0,1,Surgical Strike
#,1,22043,,,,0,1,Tactical Weapon Reconfiguration
#,1,3317,,,,0,1,Trajectory Analysis
310,1,3318,50,2,74,0,1,Weapon Upgrades - Hybrid
310,1,3318,50,2,53,0,1,Weapon Upgrades - Energy
310,1,3318,50,2,55,0,1,Weapon Upgrades - Projectile
310,1,3318,50,2,72,0,1,Weapon Upgrades - Smartbomb
310,1,3318,50,2,511,0,1,Weapon Upgrades - Assault
310,1,3318,50,2,862,0,1,Weapon Upgrades - Bomb
310,1,3318,50,2,524,0,1,Weapon Upgrades - Citadel
310,1,3318,50,2,506,0,1,Weapon Upgrades - Cruise
310,1,3318,50,2,510,0,1,Weapon Upgrades - Heavy
310,1,3318,50,2,771,0,1,Weapon Upgrades - Heavy Assault
310,1,3318,50,2,507,0,1,Weapon Upgrades - Rocket
310,1,3318,50,2,508,0,1,Weapon Upgrades - Siege
310,1,3318,50,2,501,0,1,Weapon Upgrades - Snowball
310,1,3318,50,2,509,0,1,Weapon Upgrades - Standard
# INDUSTRY,,,,,,,,
#,1,25544,,,,0,1,Gas Cloud Harvesting
#,1,16281,,,,0,1,Ice Harvesting
#,1,28585,,,,0,1,Industrial Reconfiguration
#,1,3386,,,,0,1,Mining
#,1,22578,,,,0,1,Mining Upgrades
# LEADERSHIP,,,,,,,,
#,1,20494,,,,0,1,Armored Warfare
#,1,11569,,,,0,1,Armored Warfare Specialist
#,1,24764,,,,0,1,Fleet Command
#,1,20495,,,,0,1,Information Warfare
#,1,3352,,,,0,1,Information Warfare Specialist
#,1,3348,,,,0,1,Leadership
#,1,22552,,,,0,1,Mining Director
#,1,22536,,,,0,1,Mining Foreman
#,1,3350,,,,0,1,Siege Warfare
#,1,3351,,,,0,1,Siege Warfare Specialist
#,1,3349,,,,0,1,Skirmish Warfare
#,1,11572,,,,0,1,Skirmish Warfare Specialist
#,1,3354,,,,0,1,Warfare Link Specialist
#,1,11574,,,,0,1,Wing Command
# MECHANIC,,,,,,,,
#,1,26253,,,,0,1,Armor Rigging
#,1,26254,,,,0,1,Astronautics Rigging
#,1,24568,,,,0,1,Capital Remote Armor Repair Systems
#,1,27936,,,,0,1,Capital Remote Hull Repair Systems
#,1,21803,,,,0,1,Capital Repair Systems
#,1,26255,,,,0,1,Drones Rigging
#,1,26256,,,,0,1,Electronic Superiority Rigging
#,1,22806,,,,0,1,EM Armor Compensation
#,1,26258,,,,0,1,Energy Weapon Rigging
#,1,22807,,,,0,1,Explosive Armor Compensation
335,1,3394,265,0,0,0,1,Hull Upgrades
#,1,26259,,,,0,1,Hybrid Weapon Rigging
#,1,26252,,,,0,1,Jury Rigging
#,1,22808,,,,0,1,Kinetic Armor Compensation
#,1,26260,,,,0,1,Launcher Rigging
327,1,3392,9,0,0,0,1,Mechanic
#,1,28880,,,,0,1,Nanite Interfacing
#,1,28879,,,,0,1,Nanite Operation
#,1,26257,,,,0,1,Projectile Weapon Rigging
#,1,16069,,,,0,1,Remote Armor Repair Systems
#,1,27902,,,,0,1,Remote Hull Repair Systems
#,1,3393,,,,0,1,Repair Systems
